,Title,Price,Image URL,Discount
0,"Boult Audio Newly Launched XO Black Wired Earphones with 3.5mm Jack, Extra Bass, 10mm Dynamic Driver, Inline Control, IPX5 Water Resistant, HD Mic, Radial Finish, Earphones Wired Headphones with Mic",349.,https://m.media-amazon.com/images/I/31+016vnhXL._SY300_SX300_.jpg,65%
1,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",999.,https://m.media-amazon.com/images/I/316QOmb9GbL._SX300_SY300_QL70_ML2_.jpg,80%
2,"JBL C100SI Wired In aEar Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Black)",599.,https://m.media-amazon.com/images/I/31NnmYempPL._SX300_SY300_QL70_ML2_.jpg,54%
3,"ZEBRONICS Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible (Green)",159.,https://m.media-amazon.com/images/I/316aSEuJIaL._SX300_SY300_QL70_ML2_.jpg,60%
4,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]",1799.,https://m.media-amazon.com/images/I/31hXqtvutdL._SX300_SY300_QL70_ML2_.jpg,22%
5,"Boult Audio K40 True Wireless in Ear Earbuds with 48H Playtime, Clear Calling 4 Mics, 45ms Low Latency Gaming, Premium Grip, 13mm Bass Drivers, Type-C Fast Charging, BTv 5.3 Ear Buds TWS (Ivory White)",899.,https://m.media-amazon.com/images/I/312j8P84XCL._SX300_SY300_QL70_ML2_.jpg,70%
6,"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (Black Gloss)",1299.,https://m.media-amazon.com/images/I/419A53oKOLL._SX300_SY300_QL70_ML2_.jpg,63%
7,"ZEBRONICS Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible (Black)",159.,https://m.media-amazon.com/images/I/31DYx7AhW6L._SX300_SY300_QL70_ML2_.jpg,47%
8,"Noise Buds N1 Pro in Ear Truly Wireless Earbuds with Metallic Finish, ANC(Upto 30Db), 60H of Playtime, Dual Pairing, Instacharge(10 Min=200 Min), BT V5.3(Chrome Purple)",1499.,https://m.media-amazon.com/images/I/41GeBcMJsiL._SX300_SY300_QL70_ML2_.jpg,70%
9,"HP H150 Wireless in Ear Earbuds, Compatible with Tablets, Smartphones, Pcs, and Other Devices with Bluetooth,Noise-Reduction,Water Resistant Design,Black,0.036Kg",499.,https://m.media-amazon.com/images/I/316RPCSK8lL._SX300_SY300_QL70_ML2_.jpg,80%
10,"Ambrane Wired in Ear Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Green)",199.,https://m.media-amazon.com/images/I/31lR7bNvkfL._SX300_SY300_QL70_ML2_.jpg,56%
11,"Boult Z20 Truly Wireless Bluetooth Ear Buds with 51H Playtime, Zenâ„¢ Calling ENC Mic, Made in India, Low Latency Gaming, Touch Controls, Rich Bass Drivers, TWS Earbuds Bluetooth Wireless (Pine Green)",999.,https://m.media-amazon.com/images/I/4154+74pIpL._SY300_SX300_.jpg,82%
12,"truke New Launch Crystal Dyno Leather Finish True Wireless in Ear Earbuds w/Spatial Audio, 70H Battery Fast Charge Ear Buds, 13mm Driver HiFi Sound TWS, 40ms Ultra Low Latency, 4Mics ENC- RavenBlack",1099.,https://m.media-amazon.com/images/I/41BqW7dlo4L._SX300_SY300_QL70_ML2_.jpg,63%
13,"Mustang Torq Wireless in Ear Earbuds with 50H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, Breathing LEDs, 13mm Drivers, Touch Control, Made in India IPX5 Ear Buds TWS Bluetooth 5.4",1499.,https://m.media-amazon.com/images/I/41B+MCOnmkL._SY300_SX300_.jpg,75%
14,"Portronics Harmonics Z5 Wireless Bluetooth Stereo Headset with 33Hrs Playtime, Double EQ Mode, 14.2 mm Dynamic Drivers, Click Action Buttons(Black)",699.,https://m.media-amazon.com/images/I/31b1GDKx3+L._SY300_SX300_.jpg,13%
15,"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Navy Blue)",1299.,https://m.media-amazon.com/images/I/41lk9rn1q-L._SX300_SY300_QL70_ML2_.jpg,67%
16,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Black)",449.,https://m.media-amazon.com/images/I/31Bo8uHJRYL._SX300_SY300_QL70_ML2_.jpg,25%
17,"Kratos Cube Ear Buds Wireless with Large Playtime, Noise Isolation & Clear Calls, Bluetooth Earbuds with Voice Assistant, Ear Buds with Bluetooth V 5.3 & with Type C Fast Charging, IPX4 TWS Earphones",599.,https://m.media-amazon.com/images/I/41NYj-vKn3L._SX300_SY300_QL70_ML2_.jpg,71%
18,Boat BassHeads 100 in-Ear Headphones with Mic (Black),340.,https://m.media-amazon.com/images/I/313U7Xx9b4L._SX300_SY300_QL70_ML2_.jpg,66%
19,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",279.,https://m.media-amazon.com/images/I/31jwfIOURoL._SX300_SY300_QL70_ML2_.jpg,65%
20,"MBT-2, Wireless Neckband Earphones with Magnetic Buds, Bluetooth, (Silver & Black)",650.,https://m.media-amazon.com/images/I/31luXY-0OpL._SY300_SX300_QL70_ML2_.jpg,34%
21,boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),399.,https://m.media-amazon.com/images/I/311Whu9tWES._SX300_SY300_QL70_ML2_.jpg,60%
22,"Noise Buds N1 in-Ear True Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency (Up to 40 Ms), Instacharge (10 Min=120 Min), BT V5.3 (Ice Blue)",1199.,https://m.media-amazon.com/images/I/31uHqrIlX7L._SX300_SY300_QL70_ML2_.jpg,66%
23,boAt Airdopes 131 Truly Wireless Bluetooth in Ear Earbuds with Mic (Active Black),699.,https://m.media-amazon.com/images/I/41axK5AFJ4L._SX300_SY300_QL70_ML2_.jpg,77%
24,boAt Bassheads 100 in Ear Wired Headphones Earphones with Mic (Furious Red),349.,https://m.media-amazon.com/images/I/31qRtPr+hgL._SY300_SX300_.jpg,65%
25,"ACwO Dwots Fire India's First in Ear + Half-in-Earbuds in One Case, 3+3 EQ Modes, Wireless Charging Enabled, AI-ENC with Quad Mic - Moon White",1999.,https://m.media-amazon.com/images/I/31wBBI8yWhL._SX300_SY300_QL70_ML2_.jpg,75%
26,"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Midnight Black)",799.,https://m.media-amazon.com/images/I/41549pixTSL._SX300_SY300_QL70_ML2_.jpg,80%
27,"Mivi Commando X7 [Just Launched] Gaming in Ear Earbuds: 35ms Low Latency, Aurora Lights, Dual RGB,13mm Bass Drivers, 50Hrs Playtime,Type C, AI ENC, Made in India Ear buds Wireless Bluetooth Gaming TWS",1199.,https://m.media-amazon.com/images/I/41LHmJzibzL._SX300_SY300_QL70_ML2_.jpg,70%
28,"Mivi SuperPods Halo [Flagship Launch], 35dB ANC Active Noise Cancellation in Ear Ear Buds Wireless, Spatial Audio, 60HRS Battery,13mm Drivers, IPX4, v5.4 Bluetooth Earbuds with Mic",1699.,https://m.media-amazon.com/images/I/41wDUq20btL._SX300_SY300_QL70_ML2_.jpg,77%
29,"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)",1509.,https://m.media-amazon.com/images/I/31pAe23ncfL._SX300_SY300_QL70_ML2_.jpg,34%
30,"Mustang Torq Wireless in Ear Earbuds with 50H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, Breathing LEDs, 13mm Drivers, Touch Control, Made in India IPX5 Ear Buds TWS Bluetooth 5.4",1499.,https://m.media-amazon.com/images/I/41B+MCOnmkL._SY300_SX300_.jpg,75%
31,OnePlus Nord Wired Headphones in Ear Earphones(3.5Mm),499.,https://m.media-amazon.com/images/I/21pLlDgqzaL._SY300_SX300_QL70_ML2_.jpg,62%
32,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",159.,https://m.media-amazon.com/images/I/31hGmv4D5WL._SX300_SY300_QL70_ML2_.jpg,60%
